kommunfil,bidrags_id,bidrag,url,status,effective_url,redirects,content_type,error,manuellt_verifierat_undantag,root_redirect
ale.yaml,ale-aktivitetsbidrag,Aktivitetsbidrag,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,200,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,0,text/html;charset=UTF-8,,,
ale.yaml,ale-ledarutbildning,Ledarutbildningsbidrag,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,200,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,0,text/html;charset=UTF-8,,,
ale.yaml,ale-projekt-arrangemang,Projekt- och arrangemangsbidrag,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,200,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,0,text/html;charset=UTF-8,,,
ale.yaml,ale-trygg-forening,Trygg förening-bidrag,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/trygg-forening---bidrag.html,200,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/trygg-forening---bidrag.html,0,text/html;charset=UTF-8,,,
ale.yaml,ale-lokalbidrag,Lokalbidrag,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,200,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,0,text/html;charset=UTF-8,,,
ale.yaml,ale-driftsbidrag,Driftsbidrag,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,200,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,0,text/html;charset=UTF-8,,,
ale.yaml,ale-investeringsbidrag,Investeringsbidrag,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,200,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,0,text/html;charset=UTF-8,,,
ale.yaml,ale-lovbidrag,Lovbidrag,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,200,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,0,text/html;charset=UTF-8,,,
ale.yaml,ale-studieforbund,Stöd till studieförbund,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,200,https://ale.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-stod-och-stipendier.html,0,text/html;charset=UTF-8,,,
alingsas.yaml,alingsas-verksamhetsbidrag,Bidrag till verksamhet (verksamhetsbidrag 7–25 år),https://municipio.alingsas.se/wp-content/uploads/networks/1/sites/2/2025/11/regler-och-riktlinjer-for-foreningsbidrag-antagen.pdf,200,https://municipio.alingsas.se/wp-content/uploads/networks/1/sites/2/2025/11/regler-och-riktlinjer-for-foreningsbidrag-antagen.pdf,0,application/pdf,,,
