kommunfil,bidrags_id,bidrag,url,status,effective_url,redirects,content_type,error,manuellt_verifierat_undantag,root_redirect
gnosjo.yaml,gnosjo-grundbidrag,Grundbidrag,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar/grundbidrag,404,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar/grundbidrag,0,text/html;charset=UTF-8,,ja,
gnosjo.yaml,gnosjo-aktivitetsbidrag,Aktivitetsbidrag,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar/bidrag-for-aktiviteter,404,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar/bidrag-for-aktiviteter,0,text/html;charset=UTF-8,,ja,
gnosjo.yaml,gnosjo-startbidrag,Startbidrag/Etableringsstöd,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar/etableringsstod-startbidrag,404,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar/etableringsstod-startbidrag,0,text/html;charset=UTF-8,,ja,
gnosjo.yaml,gnosjo-lokalbidrag,Lokalbidrag,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar,404,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar,0,text/html;charset=UTF-8,,ja,
gnosjo.yaml,gnosjo-investeringsbidrag,Investeringsbidrag,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar,404,https://www.gnosjo.se/uppleva-och-gora/foreningar-foreningsliv/bidrag-och-stod-for-foreningar,0,text/html;charset=UTF-8,,ja,
hallstahammar.yaml,hallstahammar-verksamhetsbidrag-for-barn-och-ungdomsorganisationer,Verksamhetsbidrag för barn- och ungdomsorganisationer,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,404,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,0,text/html;charset=UTF-8,,ja,
hallstahammar.yaml,hallstahammar-verksamhetsbidrag-for-kulturforeningar,Verksamhetsbidrag för kulturföreningar,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,404,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,0,text/html;charset=UTF-8,,ja,
hallstahammar.yaml,hallstahammar-riktat-verksamhetsbidrag-for-pensionars-och-funktionsrattsorganisationer,Riktat verksamhetsbidrag för pensionärs- och funktionsrättsorganisationer,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,404,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,0,text/html;charset=UTF-8,,ja,
hallstahammar.yaml,hallstahammar-stod-for-evenemang-eller-projekt,Stöd för evenemang eller projekt,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,404,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,0,text/html;charset=UTF-8,,ja,
hallstahammar.yaml,hallstahammar-stod-for-lokalkostnader,Stöd för lokalkostnader,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,404,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,0,text/html;charset=UTF-8,,ja,
hallstahammar.yaml,hallstahammar-riktat-bidrag-for-allmanna-lokaler,Riktat bidrag för allmänna lokaler,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,404,https://www.hallstahammar.se/uppleva-och-gora/foreningsliv/foreningsstod-och-bidrag,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-lokalt-aktivitetsstod,Lokalt aktivitetsstöd,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-stimulansbidrag,Stimulansbidrag,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-anlaggningsbidrag,Anläggningsbidrag,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-samlingslokal,Driftbidrag till samlingslokal,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-sarskilt,Särskilt bidrag,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-mindre-investeringar,Bidrag till mindre investeringar,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-anstallningsstod,Kommunalt anställningsstöd,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-studieforbund,Stöd till studieförbund,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-pensionarsforeningar,Stöd till pensionärsföreningar,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
haparanda.yaml,haparanda-funktionsratt,Stöd till verksamhet för personer med funktionsnedsättning,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,404,https://www.haparanda.se/fritid-och-kultur/foreningsliv/bidrag-och-stod-till-foreningar,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-aktivitetsbidrag,Aktivitetsbidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-driftsbidrag,Driftsbidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-foreningarnas-forfogande,Föreningarnas förfogande,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-kulturbidrag,Kulturbidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-ledarutbildningsbidrag,Ledarutbildningsbidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-lokalhyresbidrag,Lokalhyresbidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-lokalhallandebidrag,Lokalhållandebidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
