kommun,bidrag_id,kategori,belopp_varde_idag,belopp_status_idag,atgard,kalla_url
aneby,aneby-kultur-foreningsstod,B,"Individuell bedömning. Totalt ca 1,1 miljoner kronor fördelade bland ca 50 föreningar årligen.",angivet,"Behåll siffran, stryk platshållarfrasen",https://aneby.se/sidor/kultur-fritid-och-turism/foreningar-foreningsliv/kultur--och-foreningsstod.html
aneby,aneby-studieforbund-stod,C,Individuell bedömning enligt kommunstyrelsens riktlinjer,angivet,Verifiera ordalydelsen mot källan,https://aneby.se/sidor/kultur-fritid-och-turism/foreningar-foreningsliv/kultur--och-foreningsstod.html
arvika,arvika-verksamhetsbidrag-kultur,B,Individuell bedömning. Elva föreningar med samlingslokaler och 42 övriga föreningar delar 1 508 000 kronor årligen.,angivet,"Behåll siffran, stryk platshållarfrasen",https://www.arvika.se/upplevaochgora/foreningarforeningsliv/bidragstodstipendier/stodinomkultursektorn.2744.html
arvika,arvika-arrangemangsbidrag-kultur,A,Individuell bedömning per arrangemang,angivet,Ren platshållare - ingen_regel eller okand,https://www.arvika.se/upplevaochgora/foreningarforeningsliv/bidragstodstipendier/stodinomkultursektorn.2744.html
arvika,arvika-utvecklingsprojekt-kultur,A,Individuell bedömning per projekt,overifierat,Ren platshållare - ingen_regel eller okand,https://www.arvika.se/upplevaochgora/foreningarforeningsliv/bidragstodstipendier/stodinomkultursektorn.2744.html
arvika,arvika-sociala-stodforeningar,B,Individuell bedömning. Sju organisationer delade 636 000 kronor årligen.,angivet,"Behåll siffran, stryk platshållarfrasen",https://www.arvika.se/upplevaochgora/foreningarforeningsliv/bidragstodstipendier/stodinomsocialasektorn.2746.html
borgholm,borgholm-arrangemangsbidrag,A,Individuell bedömning eller förlustgaranti (partiell täckning av kostnader),angivet,Ren platshållare - ingen_regel eller okand,https://www.borgholm.se/foreningsbidrag/
borlange,borlange-aktivitetsbidrag,A,Individuell bedömning baserat på aktiviteter,angivet,Ren platshållare - ingen_regel eller okand,https://www.borlange.se/uppleva-och-gora/foreningar/foreningsbidrag
borlange,borlange-lokalbidrag,A,Individuell bedömning för lokalhyra/underhåll,angivet,Ren platshållare - ingen_regel eller okand,https://www.borlange.se/uppleva-och-gora/foreningar/foreningsbidrag
boxholm,boxholm-aktivitetsbidrag,A,Individuell bedömning per aktivitet,angivet,Ren platshållare - ingen_regel eller okand,https://www.boxholm.se/uppleva-och-gora/foreningar-och-foreningsliv/bidrag-stod-och-stipendier
boxholm,boxholm-utvecklingsbidrag,A,Individuell bedömning per projekt,overifierat,Ren platshållare - ingen_regel eller okand,https://www.boxholm.se/uppleva-och-gora/foreningar-och-foreningsliv/bidrag-stod-och-stipendier
bracke,bracke-aktivitetsstod,A,Individuell bedömning baserat på deltagarnärvaro,angivet,Ren platshållare - ingen_regel eller okand,https://www.bracke.se/kulturochfritid/foreningslivochbidrag.4.73773db514ee2ab085a9efe.html
bracke,bracke-utvecklingsbidrag,A,Individuell bedömning per projekt,overifierat,Ren platshållare - ingen_regel eller okand,https://www.bracke.se/kulturochfritid/foreningslivochbidrag.4.73773db514ee2ab085a9efe.html
bracke,bracke-senior-funktionshinder,A,Individuell bedömning baserat på medlemsantal,angivet,Ren platshållare - ingen_regel eller okand,https://www.bracke.se/kulturochfritid/foreningslivochbidrag.4.73773db514ee2ab085a9efe.html
