kommun,slug,bidrags_id,bidrag,antal_krav,krav_fullstandiga,krav_status,kalla_url
almhult,almhult,almhult-aktivitetsstod,Aktivitetsstöd,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
almhult,almhult,almhult-anlaggningsbidrag,Anläggningsbidrag,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
almhult,almhult,almhult-bidrag-till-kulturarrangemang,Bidrag till kulturarrangemang,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
almhult,almhult,almhult-bidrag-till-studieforbund,Bidrag till studieförbund,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
almhult,almhult,almhult-foreningslonebidrag,Föreningslönebidrag,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
almhult,almhult,almhult-investeringsbidrag,Investeringsbidrag,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
almhult,almhult,almhult-ledarutbildningsbidrag,Ledarutbildningsbidrag,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
almhult,almhult,almhult-platsutvecklingsbidrag,Platsutvecklingsbidrag,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
almhult,almhult,almhult-socialnamndens-foreningsbidrag,Socialnämndens föreningsbidrag,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
almhult,almhult,almhult-startbidrag,Startbidrag,0,,,https://www.almhult.se/upplevgora/foreningarochforeningsliv.479.html
alvdalen,alvdalen,alvdalen-skotsel-underhall-anlaggning,Bidrag till skötsel och underhåll av egen anläggning,0,,,https://www.alvdalen.se/uppleva-och-gora/foreningar/bidrag-stod-och-sponsring.html
alvdalen,alvdalen,alvdalen-foreningsstod,Föreningsstöd,0,,,https://www.alvdalen.se/uppleva-och-gora/foreningar/bidrag-stod-och-sponsring.html
alvdalen,alvdalen,alvdalen-forlusttackningsbidrag-arrangemangsstod,Förlusttäckningsbidrag / arrangemangsstöd,0,,,https://www.alvdalen.se/uppleva-och-gora/foreningar/bidrag-stod-och-sponsring.html
alvdalen,alvdalen,alvdalen-kommunalt-lonebidrag,Kommunalt lönebidrag,0,,,https://www.alvdalen.se/uppleva-och-gora/foreningar/bidrag-stod-och-sponsring.html
alvdalen,alvdalen,alvdalen-sponsring,Sponsring,0,,,https://www.alvdalen.se/uppleva-och-gora/foreningar/bidrag-stod-och-sponsring.html
